"","SP500","FTSE100"
"1",353.94,708.98
"2",353.68,711.55
"3",356.02,714.4
"4",357.28,712.36
"5",355.05,704.06
"6",359.53,699.91
"7",358.7,707.08
"8",359.58,701.8
"9",355.89,694.03
"10",357.01,695.97
"11",358.1,697.52
"12",361.23,702.23
"13",358.99,705.88
"14",358.99,697.14
"15",353.91,691.08
"16",353.57,685.8
"17",351.48,688.69
"18",349.9,678.85
"19",354.88,685.65
"20",356.66,687.34
"21",358.5,687.64
"22",359.46,682.32
"23",362.49,687.33
"24",360.68,679.9
"25",365.24,675.49
"26",364.19,679.83
"27",367.79,685.82
"28",365.42,681.04
"29",366.24,679.63
"30",363.37,680.15
"31",364.32,680.63
"32",365.63,683.35
"33",369.79,692.21
"34",371.56,684.34
"35",369.46,690.96
"36",367.49,688.06
"37",363.11,690.72
"38",364.77,698.33
"39",365.44,705.25
"40",369.64,695.45
"41",370.19,698.13
"42",368.88,694.46
"43",368,689.83
"44",366.72,681.76
"45",372.13,687.61
"46",369.53,684.82
"47",369.15,687.26
"48",368.48,681.65
"49",369.89,685.66
"50",370.65,682.53
"51",370.49,681.9
"52",373.14,683.93
"53",373.14,683.93
"54",373.61,683.93
"55",373.55,681.6
"56",369.28,678.95
"57",366.43,672.43
"58",363.22,673.16
"59",358.85,664.59
"60",358.13,664.8
"61",359.98,659.64
"62",361,656.73
"63",356.88,648.4
"64",358.81,648.16
"65",360.48,652.56
"66",362.92,658.64
"67",364.21,657.79
"68",367.46,666.2
"69",369.9,666.2
"70",371.64,672.31
"71",372.64,666.36
"72",373.74,664.59
"73",382.72,670.42
"74",385.89,684.03
"75",385.4,683.32
"76",385.18,686.05
"77",385.71,705.59
"78",385.9,700.89
"79",389.64,704.87
"80",390.33,713.89
"81",391.28,706.54
"82",390.37,703.36
"83",386.37,699.79
"84",386.37,699.79
"85",393.08,710.74
"86",393.32,726.4
"87",393.8,726.05
"88",395.94,734.19
"89",400.64,736.54
"90",399.86,736.85
"91",398.05,730.2
"92",396.09,736.35
"93",391.25,732.67
"94",394.61,728.79
"95",399.67,735.52
"96",398.21,746.33
"97",396.04,745.61
"98",396.06,742.3
"99",389.5,735.54
"100",391.27,735.29
"101",391.96,735.75
"102",393.46,735.48
"103",387.96,738.02
"104",384.78,745.16
"105",384.52,745.57
"106",387.89,737.42
"107",390.64,731.88
"108",391.14,737.75
"109",392.81,737.05
"110",393.65,736.8
"111",393.65,731.82
"112",388.82,724.25
"113",391.82,727.04
"114",393.05,727.23
"115",389.75,724.13
"116",394.93,734.37
"117",399.53,737.35
"118",401.58,741.13
"119",403.46,748.95
"120",401.9,751.51
"121",398.31,747.56
"122",399.52,743.02
"123",395.46,746.88
"124",388.61,737.35
"125",389.14,737.73
"126",390.59,738.73
"127",389.33,732.3
"128",386.69,728.06
"129",389.1,723.71
"130",389.89,726.71
"131",389.22,730.78
"132",384.86,720.06
"133",377.67,713.77
"134",366.5,695.43
"135",367.11,700.29
"136",370.98,700.84
"137",372.81,703.15
"138",368.07,699.7
"139",371.83,695.28
"140",372.49,699.7
"141",373.25,701.31
"142",364.9,695.96
"143",359.9,681.8
"144",360.72,676.83
"145",353.46,661.51
"146",347.64,660.68
"147",337.22,651.33
"148",342.11,654.87
"149",353.15,654.87
"150",353.17,667.24
"151",356.33,667.21
"152",350.31,675.93
"153",354.65,678.73
"154",354.65,679.98
"155",355.32,674.2
"156",356.75,675.37
"157",352.45,665.58
"158",355.69,666.31
"159",353.91,674.81
"160",353.32,673.97
"161",354.97,673.23
"162",350.69,668.46
"163",348.7,657.95
"164",349.76,658.27
"165",350.87,648.8
"166",348.67,649.31
"167",343.1,633.96
"168",342.93,636.63
"169",335.67,628.58
"170",339.75,631.36
"171",336.23,631.72
"172",331.78,634.49
"173",337.39,628.46
"174",347.3,641.4
"175",347.6,650.07
"176",343.62,659.27
"177",345.05,653.84
"178",343.75,676.65
"179",345.93,695.78
"180",336.71,674.53
"181",331.52,670.52
"182",326.08,664.39
"183",331.12,663.91
"184",334.73,664.41
"185",329.98,658.52
"186",329.82,653.62
"187",337.53,658.3
"188",344.98,660.36
"189",347.54,664.98
"190",344.89,672.81
"191",345.17,667.53
"192",342.51,660.73
"193",336.57,652.64
"194",333.51,652.33
"195",336.01,643.37
"196",335.95,648.58
"197",339.35,641.62
"198",344.73,642.53
"199",348.2,649
"200",344.99,655.44
"201",338.81,652.05
"202",340.76,644.71
"203",347.7,646.05
"204",354.07,649.61
"205",352.11,651.08
"206",355.2,647.78
"207",351.47,652.28
"208",351.69,654.81
"209",354.16,665.28
"210",349.7,671.47
"211",350.52,674.93
"212",350.52,675.49
"213",349.49,688.93
"214",351.18,683.13
"215",353.08,685.52
"216",352.92,680.67
"217",351.23,678.07
"218",357.67,682.17
"219",360,686.43
"220",362.57,681.23
"221",366.54,683.18
"222",365.62,691.21
"223",364.17,693.17
"224",365.5,694.27
"225",362.92,689.12
"226",367.09,686.18
"227",366.17,691.02
"228",363.37,689.89
"229",362.5,686.52
"230",367,687.76
"231",367.19,693.15
"232",367.1,686.78
"233",368.91,688.58
"234",367.13,686.15
"235",367.13,686.15
"236",368.21,686.15
"237",365.37,689.81
"238",365.96,687.33
"239",367.63,684.32
"240",367.63,684.32
"241",363.44,679.4
"242",358.4,676.07
"243",357.5,678.69
"244",351.39,674.65
"245",350.79,670.36
"246",347.02,679.59
"247",350.4,673.17
"248",351.19,672.32
"249",348.22,664.99
"250",349.61,661.79
"251",352.35,656.75
"252",365.5,672.47
"253",370.28,671.9
"254",368.98,665.88
"255",365.92,665.13
"256",368.05,664.78
"257",373.21,670.83
"258",374.66,672.07
"259",374.69,677.71
"260",374.58,676.3
"261",380.27,688.67
"262",383.64,694.29
"263",382.68,692.83
"264",388.86,695
"265",392.33,704.07
"266",399.95,702.19
"267",398.34,717.71
"268",401.56,718.26
"269",412.06,729.35
"270",408.68,724.77
"271",412.7,725.88
"272",407.35,734.6
"273",412.84,735.12
"274",412.84,742.02
"275",413.24,739.97
"276",408.5,735.1
"277",408.31,740.05
"278",409.18,740.94
"279",411.12,749.97
"280",406.21,745.65
"281",411.75,753.91
"282",411.08,764.36
"283",414.92,766.39
"284",413.78,765.27
"285",422.1,776.9
"286",421.5,789.78
"287",421.25,782.81
"288",420.24,788.19
"289",418.13,793.32
"290",414.87,791.82
"291",419.98,790.04
"292",418.79,806.44
"293",418.89,804.47
"294",417.24,803.35
"295",411.08,793.18
"296",412.57,787.44
"297",411.08,798.2
"298",412.28,787.54
"299",414.97,784.46
"300",422.23,786.33
"301",421.17,794.93
"302",421.03,792.42
"303",421.03,792.42
"304",416.74,792.42
"305",425.97,806.05
"306",425.38,815.83
"307",426.5,817.57
"308",421.55,824.35
"309",425.27,819.42
"310",419.57,818.49
"311",419.11,815.76
"312",424.15,819.87
"313",427.26,818.21
"314",428.23,824.99
"315",435.46,817.46
"316",438.65,825.78
"317",436.42,823.62
"318",431.65,817.62
"319",428.03,808.26
"320",428.94,812.5
"321",430.09,807.71
"322",426.17,805.34
"323",425.95,801.82
"324",420.01,811.11
"325",422.03,807.19
"326",427.59,814.45
"327",427.86,821.62
"328",428.23,819
"329",427.7,819
"330",424.81,824.05
"331",426.15,819.19
"332",431.68,825.28
"333",423.3,819.6
"334",424.57,807.33
"335",418.82,799.92
"336",415.43,798.48
"337",419.59,802.64
"338",420.03,797.01
"339",420,803.88
"340",423.51,809.04
"341",424.47,803.49
"342",423.1,809.11
"343",426.06,805.18
"344",426.06,805.18
"345",431.22,808.04
"346",432.19,812.29
"347",436.92,811.86
"348",440.24,814.45
"349",438.38,821.23
"350",438.07,818.31
"351",435.08,823.24
"352",433.46,824.05
"353",428.72,818.07
"354",427.89,819.96
"355",430.77,830.01
"356",425.8,822.73
"357",426.95,820.89
"358",432.21,823.42
"359",429.79,825.52
"360",428.08,822.92
"361",424.13,812.71
"362",424.51,811.22
"363",427.14,813.6
"364",419.66,804.14
"365",419.36,805.16
"366",420.44,797.09
"367",423.62,802.11
"368",420.07,789.78
"369",427.73,800.18
"370",427.22,805.68
"371",422.71,801.61
"372",422.71,808.87
"373",423.63,813.53
"374",428.01,807.84
"375",425.98,814.62
"376",425.56,821.34
"377",426.95,822.07
"378",430.67,817.77
"379",433.17,830.43
"380",432.22,838.49
"381",431.83,839.77
"382",436.58,835.25
"383",435.28,833.47
"384",433.8,839.03
"385",429.88,848.79
"386",429.01,846.1
"387",431.66,845.93
"388",431.65,849.13
"389",434.24,854.31
"390",438.37,854.53
"391",439.65,852.4
"392",438.89,853.16
"393",439.02,856.54
"394",436.79,851.29
"395",443.31,847.18
"396",443.42,855.16
"397",442.08,856.34
"398",439.72,846.61
"399",440.87,848.63
"400",442.71,853.83
"401",443.09,861.72
"402",442.47,864.45
"403",438.28,865.66
"404",428.01,839
"405",431.38,843.62
"406",444.08,859.3
"407",444.94,866.26
"408",448.17,872.17
"409",447.96,872.17
"410",447.16,865.36
"411",451.3,866.74
"412",451.12,871.49
"413",450.06,873.78
"414",450.06,885.71
"415",446.39,882.26
"416",443.94,880.66
"417",443,880.3
"418",442.97,881.73
"419",442.53,876.88
"420",438.11,869.53
"421",438.72,868.15
"422",441.29,873.28
"423",437.03,868.06
"424",439.71,864.99
"425",439.43,861.26
"426",441.07,857.6
"427",441.78,859.31
"428",442.27,863.1
"429",440,856.31
"430",442.21,855.32
"431",441.29,862.31
"432",440.85,861.56
"433",440.18,862.71
"434",442.53,870.87
"435",444.08,878.66
"436",443,878.31
"437",438.69,872.05
"438",435.22,871.73
"439",433.26,862.49
"440",434.63,863.49
"441",430.22,858.4
"442",434.5,853.97
"443",435.6,848.95
"444",441.33,855.89
"445",446.54,856.59
"446",448.59,857.34
"447",447.6,860.54
"448",448.26,864.56
"449",445.45,856.32
"450",442.95,850.81
"451",443.08,851.43
"452",439.8,840.48
"453",438.83,836.23
"454",445.01,850.89
"455",447.36,849.22
"456",449.05,857.21
"457",448.48,853.34
"458",447.2,847.9
"459",446.38,840.68
"460",444.81,845.04
"461",446.37,842.96
"462",450.72,844.04
"463",450,851.04
"464",450.26,851.28
"465",454.44,858.17
"466",455.25,848.29
"467",455,853.49
"468",438.36,848.35
"469",441.51,833.95
"470",434.85,820.69
"471",433.86,823.98
"472",435.62,820.38
"473",431.25,815
"474",430.45,819.87
"475",433.45,824.76
"476",431.9,817.03
"477",431.9,810.5
"478",430.41,807.8
"479",437.67,806.14
"480",437.27,807.78
"481",436.28,808.99
"482",433.22,803.33
"483",435.19,797.31
"484",434.3,805.66
"485",434.03,799.8
"486",433.81,795.55
"487",438.24,810.02
"488",441.6,819.35
"489",441.61,815.8
"490",439.69,813.12
"491",440.54,806.79
"492",439.44,799.43
"493",444.65,788.3
"494",455.89,784.06
"495",459.06,797.06
"496",459.06,797.06
"497",465.42,797.06
"498",467.4,808.49
"499",477.39,810.62
"500",479.63,834.99
"501",479.63,834.99
"502",479.84,834.91
"503",482.24,838.77
"504",480.85,835.04
"505",480.23,831.55
"506",481.03,826.3
"507",480.5,836.66
